cod_fabrica,cod_venta,descripcion,precio
0202,BI6532MG,Vestido Escote V Con Vuelo Manga Sin Mangas 100% Lino Made In Italy,42000
0202,BI6532CL,Vestido Escote V Con Vuelo Manga Sin Mangas 100% Lino Made In Italy,42000
0202,BI6532ZM,Vestido Escote V Con Vuelo Manga Sin Mangas 100% Lino Made In Italy,42000
0202,BI6532NG,Vestido Escote V Con Vuelo Manga Sin Mangas 100% Lino Made In Italy,42000
11180,BI6533BL,Falda Larga Elasticada Cintura Piso 100% Lino Made In Italy,44000
11180,BI6533RS,Falda Larga Elasticada Cintura Piso 100% Lino Made In Italy,44000
11180,BI6533TJ,Falda Larga Elasticada Cintura Piso 100% Lino Made In Italy,44000
11180,BI6533BD,Falda Larga Elasticada Cintura Piso 100% Lino Made In Italy,44000
11180,BI6533BG,Falda Larga Elasticada Cintura Piso 100% Lino Made In Italy,44000
11180,BI6533FG,Falda Larga Elasticada Cintura Piso 100% Lino Made In Italy,44000
11180,BI6533MG,Falda Larga Elasticada Cintura Piso 100% Lino Made In Italy,44000
11180,BI6533CL,Falda Larga Elasticada Cintura Piso 100% Lino Made In Italy,44000
11180,BI6533ZM,Falda Larga Elasticada Cintura Piso 100% Lino Made In Italy,44000
11180,BI6533NG,Falda Larga Elasticada Cintura Piso 100% Lino Made In Italy,44000
10028,BI6534BL,Vestido Cuello Ancho Redondo Sin Mangas 100% Lino Made In Italy,50000
10028,BI6534RS,Vestido Cuello Ancho Redondo Sin Mangas 100% Lino Made In Italy,50000
10028,BI6534TJ,Vestido Cuello Ancho Redondo Sin Mangas 100% Lino Made In Italy,50000
10028,BI6534BD,Vestido Cuello Ancho Redondo Sin Mangas 100% Lino Made In Italy,50000
10028,BI6534BG,Vestido Cuello Ancho Redondo Sin Mangas 100% Lino Made In Italy,50000
10028,BI6534FG,Vestido Cuello Ancho Redondo Sin Mangas 100% Lino Made In Italy,50000
10028,BI6534MG,Vestido Cuello Ancho Redondo Sin Mangas 100% Lino Made In Italy,50000
10028,BI6534CL,Vestido Cuello Ancho Redondo Sin Mangas 100% Lino Made In Italy,50000
10028,BI6534ZM,Vestido Cuello Ancho Redondo Sin Mangas 100% Lino Made In Italy,50000
10028,BI6534NG,Vestido Cuello Ancho Redondo Sin Mangas 100% Lino Made In Italy,50000
106773,BI6535BL,Falda Piernas Anchas Sin Pretina 100% Lino Made In Italy0,42000
106773,BI6535RS,Falda Piernas Anchas Sin Pretina 100% Lino Made In Italy0,42000
106773,BI6535TJ,Falda Piernas Anchas Sin Pretina 100% Lino Made In Italy0,42000
106773,BI6535BD,Falda Piernas Anchas Sin Pretina 100% Lino Made In Italy0,42000
106773,BI6535BG,Falda Piernas Anchas Sin Pretina 100% Lino Made In Italy0,42000
106773,BI6535FG,Falda Piernas Anchas Sin Pretina 100% Lino Made In Italy0,42000
106773,BI6535MG,Falda Piernas Anchas Sin Pretina 100% Lino Made In Italy0,42000
106773,BI6535CL,Falda Piernas Anchas Sin Pretina 100% Lino Made In Italy0,42000
106773,BI6535ZM,Falda Piernas Anchas Sin Pretina 100% Lino Made In Italy0,42000
106773,BI6535NG,Falda Piernas Anchas Sin Pretina 100% Lino Made In Italy0,42000
9921,BI6536BL,Blusa Escote V Manga Corta Con Vuelo 100% Lino Made In Italy,30000
9921,BI6536RS,Blusa Escote V Manga Corta Con Vuelo 100% Lino Made In Italy,30000
9921,BI6536TJ,Blusa Escote V Manga Corta Con Vuelo 100% Lino Made In Italy,30000
9921,BI6536BD,Blusa Escote V Manga Corta Con Vuelo 100% Lino Made In Italy,30000
9921,BI6536BG,Blusa Escote V Manga Corta Con Vuelo 100% Lino Made In Italy,30000
9921,BI6536FG,Blusa Escote V Manga Corta Con Vuelo 100% Lino Made In Italy,30000
9921,BI6536MG,Blusa Escote V Manga Corta Con Vuelo 100% Lino Made In Italy,30000
